verb_id,lex,scroll,book,chapter,verse_num,gcons_verb,gcons_verse,sign_info,stem,tense,gcons_clause,subject,complement,cmpl_lex,cmpl_translation,dir_he,cmpl_constr,cmpl_nt,cmpl_anim,cmpl_det,cmpl_indiv,cmpl_complex,motion_type,spatial_arg_type,preposition_1,preposition_2,preposition_3,preposition_4,preposition_5,preposition_6,comments,reconstructed_verse
169744,BW>[,MT,2_Samuel,15,37,JB>,W JB> XWCJ R<H DWD H <JR W >BCLM JB> JRWCLM,,qal,impf,W >BCLM JB> JRWCLM,>BCLM,JRWCLM,JRWCLM/,,0,vc,topo,inanim,det,nmpr,simple,,,,,,,,,,
2007686,BW>[,4Q51,2_Samuel,15,37,JBW>,DWJD H <JRH W >BCLWM JBW> JRWCLJMH,1111 1 1111 1 111111 1110 11101111,qal,impf,None,None,,,,,,,,,,,,,,,,,,,,[DWJD H <JRH W >BCLWM JBW]> [JRW]C[LJMH]
2007691,<BR[,4Q51,2_Samuel,16,1,<BR,W DWJD <BR M<V M H R>C W HNH YJB> N<R MPJBCT L QR>TW W YMD XMWRJM XBWCJM W <LJHM M>TJM LXM W M>H YMWQJM W >JPT QJY W NBL JJN,1 1111 111 000 1 1 111 1 111 1111 111 111111 0 00000 0 111 100000 000011 1 11111 11111 111 1 111 111110 0 0000 111 1 100 000,qal,perf,None,None,,,,,,,,,,,,,,,,,,,,[W DWJD <BR] M<V [M H R>C W HNH YJB> N<R MPJBCT] L QR>TW W [YMD X]MWRJM XBWC[JM W <LJHM M>TJM LXM W M>H YMWQJ]M W >JPT [QJY W N]BL JJN
169839,CWB[,MT,2_Samuel,16,3,JCJBW,W J>MR H MLK W >JH BN >DNJK W J>MR YJB> >L H MLK HNH JWCB B JRWCLM KJ >MR H JWM JCJBW LJ BJT JFR>L >T MMLKWT >BJ,,hif,impf,H JWM JCJBW LJ BJT JFR>L >T MMLKWT >BJ,BJT JFR>L,LJ,L,,0,prep,,,det,,simple,,,L,,,,,,,
169870,BW>[,MT,2_Samuel,16,5,B>,W B> H MLK DWD <D BXWRJM W HNH M CM >JC JWY> M MCPXT BJT C>WL W CMW CM<J BN GR> JY> JYW> W MQLL,,qal,perf,W B> H MLK DWD <D BXWRJM,H MLK DWD,<D BXWRJM,<D BXRJM=/,,0,prep,topo,inanim,det,nmpr,simple,,,<D,,,,,,,
169891,JY>[,MT,2_Samuel,16,5,JY>,W B> H MLK DWD <D BXWRJM W HNH M CM >JC JWY> M MCPXT BJT C>WL W CMW CM<J BN GR> JY> JYW> W MQLL,,qal,ptca,JY> JYW>,,no complement,no complement,,,,,,,,,,,,,,,,,,
169892,JY>[,MT,2_Samuel,16,5,JYW>,W B> H MLK DWD <D BXWRJM W HNH M CM >JC JWY> M MCPXT BJT C>WL W CMW CM<J BN GR> JY> JYW> W MQLL,,qal,infa,JY> JYW>,,no complement,no complement,,,,,,,,,,,,,,,,,,
169928,JY>[,MT,2_Samuel,16,7,Y>,W KH >MR CM<J B QLLW Y> Y> >JC H DMJM W >JC H BLJ<L,,qal,impv,Y>,,no complement,no complement,,,,,,,,,,,,,,,,,,
169929,JY>[,MT,2_Samuel,16,7,Y>,W KH >MR CM<J B QLLW Y> Y> >JC H DMJM W >JC H BLJ<L,,qal,impv,Y>,,no complement,no complement,,,,,,,,,,,,,,,,,,
2007769,JY>[,4Q51,2_Samuel,16,7,Y>,W KH >MR CM<J B QLLW Y> Y> >JC H DMJM W >JC H BLJ<L,1 11 111 1111 1 1111 11 11 111 1 1111 1 111 1 11110,qal,impv,None,None,,,,,,,,,,,,,,,,,,,,[W KH >MR CM<J B QLLW Y> Y> >JC H DMJM W >JC H BLJ<]L
2007770,JY>[,4Q51,2_Samuel,16,7,Y>,W KH >MR CM<J B QLLW Y> Y> >JC H DMJM W >JC H BLJ<L,1 11 111 1111 1 1111 11 11 111 1 1111 1 111 1 11110,qal,impv,None,None,,,,,,,,,,,,,,,,,,,,[W KH >MR CM<J B QLLW Y> Y> >JC H DMJM W >JC H BLJ<]L
169937,CWB[,MT,2_Samuel,16,8,HCJB,HCJB <LJK JHWH KL DMJ BJT C>WL >CR MLKT TXTW W JTN JHWH >T H MLWKH B JD >BCLWM BNK W HNK B R<TK KJ >JC DMJM >TH,,hif,perf,HCJB <LJK JHWH KL DMJ BJT C>WL,JHWH,<LJK,<L,,0,prep,,,det,,simple,,,<L,,,,,,,
