verb_id,lex,scroll,book,chapter,verse_num,gcons_verb,gcons_verse,gcons_clause,subject,complement,cmpl_lex,cmpl_translation,dir_he,cmpl_constr,cmpl_nt,cmpl_anim,cmpl_det,cmpl_indiv,cmpl_complex,dir_he_dss,sign_info,stem,tense,motion_type,comments,preposition_1,preposition_2,preposition_3,preposition_4,preposition_5,preposition_6,preposition_7
381181,HLK[,MT,Ezra,7,13,JHK,MNJ FJM V<M DJ KL MTNDB B MLKWTJ MN <MH JFR>L W KHNWHJ W LWJ> L MHK L JRWCLM <MK JHK,DJ KL MTNDB B MLKWTJ MN <MH JFR>L W KHNWHJ W LWJ> <MK JHK,KL MTNDB B MLKWTJ MN <MH JFR>L W KHNWHJ W LWJ>,<MK,<M,,0,prep,prsf,,det,prsf,simple,,,peal,impf,,,<M,,,,,,
381264,QRB[,MT,Ezra,7,17,TQRB,K L QBL DNH >SPRN> TQN> B KSP> DNH TWRJN DKRJN >MRJN W MNXTHWN W NSKJHWN W TQRB HMW <L MDBXH DJ BJT >LHKM DJ B JRWCLM,W TQRB HMW <L MDBXH DJ BJT >LHKM,,no complement,no complement,,,,,,,,,,,pael,impf,,,,,,,,,
381312,NPL[,MT,Ezra,7,20,JPL,W C>R XCXWT BJT >LHK DJ JPL LK L MNTN TNTN MN BJT GNZJ MLK>,DJ JPL LK,,LK,L,,0,prep,prsf,,det,prsf,simple,,,peal,impf,,,L,,,,,,
381535,<LH[,MT,Ezra,7,28,<LWT,W <LJ HVH XSD L PNJ H MLK W JW<YJW W L KL FRJ H MLK H GBRJM W >NJ HTXZQTJ K JD JHWH >LHJ <LJ W >QBYH M JFR>L R>CJM L <LWT <MJ,L <LWT <MJ,,<MJ,<M,,0,prep,prsf,,det,prsf,simple,,,qal,infc,,,<M,,,,,,
381815,BW>[,MT,Ezra,8,17,HBJ>,W >WY>H >WTM <L >DW H R>C B KSPJ> H MQWM W >FJMH B PJHM DBRJM L DBR >L >DW >XJW H NTWNJM B KSPJ> H MQWM L HBJ> LNW MCRTJM L BJT >LHJNW,L HBJ> LNW MCRTJM L BJT >LHJNW,,LNW,L,,0,prep,prsf,,det,prsf,simple,,,hif,infc,,,L,,,,,,
381822,BW>[,MT,Ezra,8,18,JBJ>W,W JBJ>W LNW K JD >LHJNW H VWBH <LJNW >JC FKL M BNJ MXLJ BN LWJ BN JFR>L W CRBJH W BNJW W >XJW CMNH <FR,W JBJ>W LNW K JD >LHJNW H VWBH <LJNW >JC FKL M BNJ MXLJ BN LWJ BN JFR>L,,LNW,L,,0,prep,prsf,,det,prsf,simple,,,hif,wayq,,,L,,,,,,
382103,BW>[,MT,Ezra,8,30,HBJ>,W QBLW H KHNJM W H LWJM MCQL H KSP W H ZHB W H KLJM L HBJ> L JRWCLM L BJT >LHJNW,L HBJ> L JRWCLM L BJT >LHJNW,,L JRWCLM L BJT >LHJNW,L JRWCLM/ L BJT/ >LHJM/,,0,prep + prep,topo,inanim,det,nmpr,complex,,,hif,infc,,,L,L,,,,,
382123,HLK[,MT,Ezra,8,31,LKT,W NS<H M NHR >HW> B CNJM <FR L XDC H R>CWN L LKT JRWCLM W JD >LHJNW HJTH <LJNW W JYJLNW M KP >WJB W >WRB <L H DRK,L LKT JRWCLM,,JRWCLM,JRWCLM/,,0,vc,topo,inanim,det,nmpr,simple,,,qal,infc,,,,,,,,,
382141,BW>[,MT,Ezra,8,32,NBW>,W NBW> JRWCLM W NCB CM JMJM CLCH,W NBW> JRWCLM,,JRWCLM,JRWCLM/,,0,vc,topo,inanim,det,nmpr,simple,,,qal,wayq,,,,,,,,,
382214,QRB[,MT,Ezra,8,35,HQRJBW,H B>JM M H CBJ BNJ H GWLH HQRJBW <LWT L >LHJ JFR>L PRJM CNJM <FR <L KL JFR>L >JLJM TC<JM W CCH KBFJM CB<JM W CB<H YPJRJ XV>T CNJM <FR H KL <WLH L JHWH,HQRJBW <LWT L >LHJ JFR>L PRJM CNJM <FR <L KL JFR>L >JLJM TC<JM W CCH KBFJM CB<JM W CB<H YPJRJ XV>T CNJM <FR,,L >LHJ JFR>L,L >LHJM/ JFR>L/,,0,prep,"pers,gens,topo",,det,subs,complex,,,hif,perf,,,L,,,,,,
382271,NGC[,MT,Ezra,9,1,NGCW,W K KLWT >LH NGCW >LJ H FRJM L >MR L> NBDLW H <M JFR>L W H KHNJM W H LWJM M <MJ H >RYWT K TW<BTJHM L KN<NJ H XTJ H PRZJ H JBWSJ H <MNJ H M>BJ H MYRJ W H >MRJ,W NGCW >LJ H FRJM,H FRJM,>LJ,>L,,0,prep,prsf,,det,prsf,simple,,,nif,perf,,,>L,,,,,,
382663,CWB[,MT,Ezra,9,14,NCWB,H NCWB L HPR MYWTJK W L HTXTN B <MJ H T<BWT H >LH H LW> T>NP BNW <D KLH L >JN C>RJT W PLJVH,H NCWB,,no complement,no complement,,,,,,,,,,,qal,impf,,,,,,,,,
