verb_id,lex,scroll,book,chapter,verse_num,gcons_verb,gcons_verse,gcons_clause,subject,complement,cmpl_lex,dir_he,cmpl_constr,cmpl_nt,cmpl_anim,cmpl_det,cmpl_indiv,dir_he_dss,sign_info,stem,tense,preposition_1,preposition_2,preposition_3,preposition_4,preposition_5,preposition_6,preposition_7,cmpl_translation,cmpl_complex,motion_type,comments
412849,BW>[,MT,2_Chronicles,12,11,B>W,W JHJ M DJ BW> H MLK BJT JHWH B>W H RYJM W NF>WM W HCBWM >L T> H RYJM,B>W H RYJM,H RYJM,no complement,no complement,,,,,,,,,qal,perf,,,,,,,,,,,
412851,RWY[,MT,2_Chronicles,12,11,RYJM,W JHJ M DJ BW> H MLK BJT JHWH B>W H RYJM W NF>WM W HCBWM >L T> H RYJM,B>W H RYJM,H RYJM,no complement,no complement,,,,,,,,,qal,ptca,,,,,,,,,,,
412855,CWB[,MT,2_Chronicles,12,11,HCBWM,W JHJ M DJ BW> H MLK BJT JHWH B>W H RYJM W NF>WM W HCBWM >L T> H RYJM,W HCBWM >L T> H RYJM,,>L T> H RYJM,>L T>/ H RWY[,0,prep,,,det,subs,,,hif,perf,>L,,,,,,,,,,
412859,RWY[,MT,2_Chronicles,12,11,RYJM,W JHJ M DJ BW> H MLK BJT JHWH B>W H RYJM W NF>WM W HCBWM >L T> H RYJM,W HCBWM >L T> H RYJM,,>L T> H RYJM,>L T>/ H RWY[,0,prep,,,det,subs,,,qal,ptca,>L,,,,,,,,,,
412863,CWB[,MT,2_Chronicles,12,12,CB,W B HKN<W CB MMNW >P JHWH W L> L HCXJT L KLH W GM B JHWDH HJH DBRJM VWBJM,W CB MMNW >P JHWH,>P JHWH,MMNW,MN,0,prep,,,det,,,,qal,perf,MMNW,,,,,,,,,,
413175,BW>[,MT,2_Chronicles,13,9,B>,H L> HDXTM >T KHNJ JHWH >T BNJ >HRN W H LWJM W T<FW LKM KHNJM K <MJ H >RYWT KL H B> L ML> JDW B PR BN BQR W >JLM CB<H W HJH KHN L L> >LHJM,H B>,,no complement,no complement,,,,,,,,,qal,ptca,,,,,,,,,,,
413296,SBB[,MT,2_Chronicles,13,13,HSB,W JRB<M HSB >T H M>RB L BW> M >XRJHM W JHJW L PNJ JHWDH W H M>RB M >XRJHM,W JRB<M HSB >T H M>RB,JRB<M,no complement,no complement,,,,,,,,,hif,perf,,,,,,,,,,,
413301,BW>[,MT,2_Chronicles,13,13,BW>,W JRB<M HSB >T H M>RB L BW> M >XRJHM W JHJW L PNJ JHWDH W H M>RB M >XRJHM,L BW> M >XRJHM,,M >XRJHM,MN >XR/,0,prep,,,det,subs,,,qal,infc,M,,,,,,,,,,
413315,PNH[,MT,2_Chronicles,13,14,JPNW,W JPNW JHWDH W HNH LHM H MLXMH PNJM W >XWR W JY<QW L JHWH W H KHNJM MXYYRJM B XYYRWT,W JPNW JHWDH,JHWDH,no complement,no complement,,,,,,,,,qal,wayq,,,,,,,,,,,
413360,NWS[,MT,2_Chronicles,13,16,JNWSW,W JNWSW BNJ JFR>L M PNJ JHWDH W JTNM >LHJM B JDM,W JNWSW BNJ JFR>L M PNJ JHWDH,BNJ JFR>L,M PNJ JHWDH,MN PNH/ JHWDH/,0,prep,"pers,gens,topo",,det,subs nmpr,,,qal,wayq,M,,,,,,,,,,
