verb_id,lex,scroll,book,chapter,verse_num,gcons_verb,gcons_verse,gcons_clause,subject,complement,cmpl_lex,dir_he,cmpl_constr,cmpl_nt,cmpl_anim,cmpl_det,cmpl_indiv,dir_he_dss,sign_info,stem,tense,preposition_1,preposition_2,preposition_3,preposition_4,preposition_5,preposition_6,preposition_7,cmpl_translation,cmpl_complex,motion_type,comments
2056824,BW>[,4Q107,Song_of_songs,4,16,JB>,<WRJ YPWN W BW>J TJMN HPJXJ GNJ JZLW BFMJW JB> DWDJ L GNW W J>KL MN GDJW,None,None,,,,,,,,,0,0000 0000 0 0000 0000 00000 000 0000 00000 000 0000 0 000 0 0000 00 0000,qal,impf,,,,,,,,,,,
358456,BW>[,MT,Song_of_songs,5,1,B>TJ,B>TJ L GNJ >XTJ KLH >RJTJ MWRJ <M BFMJ >KLTJ J<RJ <M DBCJ CTJTJ JJNJ <M XLBJ >KLW R<JM CTW W CKRW DWDJM,B>TJ L GNJ,,L GNJ,L GN/,0,prep,,,det,subs,,,qal,perf,L,,,,,,,,,,
2056833,BW>[,4Q107,Song_of_songs,5,1,B>TJ,B>TJ L GNJ >XWTJ KLH >RJTJ MRJ <M BFMJ CTJTJ JJNJ <M XLBJ >KLTJ J<RJ <M DBCJ >KLW R<JM CTW W CKRW DWDJM,None,None,,,,,,,,,0,0000 0 000 00000 000 00000 000 00 0000 00000 0000 00 0000 00000 0000 00 0000 0000 0000 000 0 0000 00000  1,qal,perf,,,,,,,,,,,
358528,NVP[,MT,Song_of_songs,5,5,NVPW,QMTJ >NJ L PTX L DWDJ W JDJ NVPW MWR W >YB<TJ MWR <BR <L KPWT H MN<WL,W JDJ NVPW MWR,JDJ,no complement,no complement,,,,,,,,,qal,perf,,,,,,,,,,,
358533,<BR[,MT,Song_of_songs,5,5,<BR,QMTJ >NJ L PTX L DWDJ W JDJ NVPW MWR W >YB<TJ MWR <BR <L KPWT H MN<WL,W >YB<TJ MWR <BR <L KPWT H MN<WL,>YB<TJ,no complement,no complement,,,,,,,,,qal,ptca,,,,,,,,,,,
358545,<BR[,MT,Song_of_songs,5,6,<BR,PTXTJ >NJ L DWDJ W DWDJ XMQ <BR NPCJ JY>H B DBRW BQCTJHW W L> MY>TJHW QR>TJW W L> <NNJ,<BR,,no complement,no complement,,,,,,,,,qal,perf,,,,,,,,,,,
358547,JY>[,MT,Song_of_songs,5,6,JY>H,PTXTJ >NJ L DWDJ W DWDJ XMQ <BR NPCJ JY>H B DBRW BQCTJHW W L> MY>TJHW QR>TJW W L> <NNJ,NPCJ JY>H,NPCJ,no complement,no complement,,,,,,,,,qal,perf,,,,,,,,,,,
358562,SBB[,MT,Song_of_songs,5,7,SBBJM,MY>NJ H CMRJM H SBBJM B <JR HKWNJ PY<WNJ NF>W >T RDJDJ M <LJ CMRJ H XMWT,H SBBJM B <JR,,B <JR,B H <JR/,0,prep,,,det,subs,,,qal,ptca,B,,,,,,,,,,
358645,NVP[,MT,Song_of_songs,5,13,NVPWT,LXJW K <RWGT H BFM MGDLWT MRQXJM FPTWTJW CWCNJM NVPWT MWR <BR,NVPWT MWR <BR,,no complement,no complement,,,,,,,,,qal,ptca,,,,,,,,,,,
358647,<BR[,MT,Song_of_songs,5,13,<BR,LXJW K <RWGT H BFM MGDLWT MRQXJM FPTWTJW CWCNJM NVPWT MWR <BR,NVPWT MWR <BR,,no complement,no complement,,,,,,,,,qal,ptca,,,,,,,,,,,
