verb_id,lex,scroll,book,chapter,verse_num,gcons_verb,gcons_verse,gcons_clause,subject,complement,cmpl_lex,dir_he,cmpl_constr,cmpl_nt,cmpl_anim,cmpl_det,cmpl_indiv,dir_he_dss,sign_info,stem,tense,preposition_1,preposition_2,preposition_3,preposition_4,preposition_5,preposition_6,preposition_7,cmpl_translation,cmpl_complex,motion_type,comments
391039,BW>[,MT,Nehemiah,13,21,B>W,W ><JDH BHM W >MRH >LJHM MDW< >TM LNJM NGD H XWMH >M TCNW JD >CLX BKM MN H <T H HJ> L> B>W B CBT,MN H <T H HJ> L> B>W B CBT,,no complement,no complement,,,,,,,,,qal,perf,,,,,,,,,,,
391052,BW>[,MT,Nehemiah,13,22,B>JM,W >MRH L LWJM >CR JHJW MVHRJM W B>JM CMRJM H C<RJM L QDC >T JWM H CBT GM Z>T ZKRH LJ >LHJ W XWSH <LJ K RB XSDK,W B>JM,,no complement,no complement,,,,,,,,,qal,ptca,,,,,,,,,,,
391209,BRX[,MT,Nehemiah,13,28,>BRJXHW,W M BNJ JWJD< BN >LJCJB H KHN H GDWL XTN L SNBLV H XRNJ W >BRJXHW M <LJ,W >BRJXHW M <LJ,,M <LJ,MN <L,0,prep + prep,,,det,,,,hif,wayq,M,<LJ,,,,,,,,,
383853,CWB[,MT,Nehemiah,2,6,TCWB,W J>MR LJ H MLK W H CGL JWCBT >YLW <D MTJ JHJH MHLKK W MTJ TCWB W JJVB L PNJ H MLK W JCLXNJ W >TNH LW ZMN,W MTJ TCWB,,no complement,no complement,,,,,,,,,qal,impf,,,,,,,,,,,
383885,<BR[,MT,Nehemiah,2,7,J<BJRWNJ,W >WMR L MLK >M <L H MLK VWB >GRWT JTNW LJ <L PXWWT <BR H NHR >CR J<BJRWNJ <D >CR >BW> >L JHWDH,>CR J<BJRWNJ,,no complement,no complement,,,,,,,,,hif,impf,,,,,,,,,,,
383888,BW>[,MT,Nehemiah,2,7,>BW>,W >WMR L MLK >M <L H MLK VWB >GRWT JTNW LJ <L PXWWT <BR H NHR >CR J<BJRWNJ <D >CR >BW> >L JHWDH,<D >CR >BW> >L JHWDH,,>L JHWDH,>L JHWDH/,0,prep,"pers,gens,topo",,det,nmpr,,,qal,impf,>L,,,,,,,,,,
383926,BW>[,MT,Nehemiah,2,8,>BW>,W >GRT >L >SP CMR H PRDS >CR L MLK >CR JTN LJ <YJM L QRWT >T C<RJ H BJRH >CR L BJT W L XWMT H <JR W L BJT >CR >BW> >LJW W JTN LJ H MLK K JD >LHJ H VWBH <LJ,>CR >BW> >LJW,,>LJW,>L,0,prep,,,det,,,,qal,impf,>LJW,,,,,,,,,,
383940,BW>[,MT,Nehemiah,2,9,>BW>,W >BW> >L PXWWT <BR H NHR W >TNH LHM >T >GRWT H MLK W JCLX <MJ H MLK FRJ XJL W PRCJM,W >BW> >L PXWWT <BR H NHR,,>L PXWWT <BR H NHR,>L PXH/ <BR/ H NHR/,0,prep,,,det,subs subs subs,,,qal,wayq,>L,,,,,,,,,,
383979,BW>[,MT,Nehemiah,2,10,B>,W JCM< SNBLV H XRNJ W VWBJH H <BD H <MNJ W JR< LHM R<H GDLH >CR B> >DM L BQC VWBH L BNJ JFR>L,>CR B> >DM,>DM,no complement,no complement,,,,,,,,,qal,perf,,,,,,,,,,,
383988,BW>[,MT,Nehemiah,2,11,>BW>,W >BW> >L JRWCLM W >HJ CM JMJM CLCH,W >BW> >L JRWCLM,,>L JRWCLM,>L JRWCLM/,0,prep,topo,inanim,det,nmpr,,,qal,wayq,>L,,,,,,,,,,
384031,JY>[,MT,Nehemiah,2,13,>Y>H,W >Y>H B C<R H GJ> LJLH W >L PNJ <JN_HTNJN W >L C<R H >CPT W >HJ FBR B XWMT JRWCLM >CR HM PRWYJM W C<RJH >KLW B >C,W >Y>H B C<R H GJ> LJLH,,B C<R H GJ>,B C<R/ H GJ>/,0,prep,,,det,subs subs,,,qal,wayq,B,,,,,,,,,,
384062,<BR[,MT,Nehemiah,2,14,><BR,W ><BR >L C<R H <JN W >L BRKT H MLK W >JN MQWM L BHMH L <BR TXTJ,W ><BR >L C<R H <JN W >L BRKT H MLK,,>L C<R H <JN W >L BRKT H MLK,>L C<R/ H <JN/ W >L BRKH=/ H MLK/,0,prep + prep,,,det,subs subs subs subs,,,qal,wayq,>L,>L,,,,,,,,,
384079,<BR[,MT,Nehemiah,2,14,<BR,W ><BR >L C<R H <JN W >L BRKT H MLK W >JN MQWM L BHMH L <BR TXTJ,L <BR TXTJ,,no complement,no complement,,,,,,,,,qal,infc,,,,,,,,,,,
384083,<LH[,MT,Nehemiah,2,15,<LH,W >HJ <LH B NXL LJLH W >HJ FBR B XWMH W >CWB W >BW> B C<R H GJ> W >CWB,W >HJ <LH B NXL LJLH,,B NXL,B H NXL/,0,prep,,,det,subs,,,qal,ptca,B,,,,,,,,,,
384095,CWB[,MT,Nehemiah,2,15,>CWB,W >HJ <LH B NXL LJLH W >HJ FBR B XWMH W >CWB W >BW> B C<R H GJ> W >CWB,W >CWB,,no complement,no complement,,,,,,,,,qal,wayq,,,,,,,,,,,
384097,BW>[,MT,Nehemiah,2,15,>BW>,W >HJ <LH B NXL LJLH W >HJ FBR B XWMH W >CWB W >BW> B C<R H GJ> W >CWB,W >BW> B C<R H GJ>,,B C<R H GJ>,B C<R/ H GJ>/,0,prep,,,det,subs subs,,,qal,wayq,B,,,,,,,,,,
384103,CWB[,MT,Nehemiah,2,15,>CWB,W >HJ <LH B NXL LJLH W >HJ FBR B XWMH W >CWB W >BW> B C<R H GJ> W >CWB,W >CWB,,no complement,no complement,,,,,,,,,qal,wayq,,,,,,,,,,,
384110,HLK[,MT,Nehemiah,2,16,HLKTJ,W H SGNJM L> JD<W >NH HLKTJ W MH >NJ <FH W L JHWDJM W L KHNJM W L XRJM W L SGNJM W L JTR <FH H ML>KH <D KN L> HGDTJ,>NH HLKTJ,,no complement,no complement,,,,,,,,,qal,perf,,,,,,,,,,,
