verb_id,lex,scroll,book,chapter,verse_num,gcons_verb,gcons_verse,sign_info,stem,tense,gcons_clause,subject,complement,cmpl_lex,cmpl_translation,dir_he,cmpl_constr,cmpl_nt,cmpl_anim,cmpl_det,cmpl_indiv,cmpl_complex,motion_type,spatial_arg_type,preposition_1,preposition_2,preposition_3,preposition_4,preposition_5,preposition_6,comments,reconstructed_verse
316210,NPL[,MT,Psalms,36,13,NPLW,CM NPLW P<LJ >WN DXW W L> JKLW QWM,,qal,perf,CM NPLW,,no complement,no complement,,,,,,,,,,,,,,,,,,
316261,GLL[,MT,Psalms,37,5,GWL,GWL <L JHWH DRKK W BVX <LJW W HW> J<FH,,qal,impv,GWL <L JHWH DRKK,,<L JHWH,<L JHWH/,,0,prep,pers,anim,det,nmpr,simple,,,<L,,,,,,,
316272,JY>[,MT,Psalms,37,6,HWYJ>,W HWYJ> K >WR YDQK W MCPVK K YHRJM,,hif,perf,W HWYJ> K >WR YDQK,,no complement,no complement,,,,,,,,,,,,,,,,,,
316353,BW>[,MT,Psalms,37,13,JB>,>DNJ JFXQ LW KJ R>H KJ JB> JWMW,,qal,impf,KJ JB> JWMW,JWMW,no complement,no complement,,,,,,,,,,,,,,,,,,
316362,NPL[,MT,Psalms,37,14,HPJL,XRB PTXW RC<JM W DRKW QCTM L HPJL <NJ W >BJWN L VBWX JCRJ DRK,,hif,infc,L HPJL <NJ W >BJWN,,no complement,no complement,,,,,,,,,,,,,,,,,,
316371,BW>[,MT,Psalms,37,15,TBW>,XRBM TBW> B LBM W QCTWTM TCBRNH,,qal,impf,XRBM TBW> B LBM,XRBM,B LBM,B LB/,,0,prep,,,det,subs,simple,,,B,,,,,,,
316453,NPL[,MT,Psalms,37,24,JPL,KJ JPL L> JWVL KJ JHWH SWMK JDW,,qal,impf,KJ JPL,,no complement,no complement,,,,,,,,,,,,,,,,,,
316575,<BR[,MT,Psalms,37,36,J<BR,W J<BR W HNH >JNNW W >BQCHW W L> NMY>,,qal,wayq,W J<BR,,no complement,no complement,,,,,,,,,,,,,,,,,,
316621,XSH[,MT,Psalms,37,40,XSW,W J<ZRM JHWH W JPLVM JPLVM M RC<JM W JWCJ<M KJ XSW BW,,qal,perf,KJ XSW BW,,BW,B,,0,prep,,,det,,simple,,,B,,,,,,,
316639,NXT[,MT,Psalms,38,3,NXTW,KJ XYJK NXTW BJ W TNXT <LJ JDK,,nif,perf,KJ XYJK NXTW BJ,XYJK,BJ,B,,0,prep,,,det,,simple,,,B,,,,,,,
