verb_id,lex,scroll,book,chapter,verse_num,gcons_verb,gcons_verse,gcons_clause,subject,complement,cmpl_lex,cmpl_translation,dir_he,cmpl_constr,cmpl_nt,cmpl_anim,cmpl_det,cmpl_indiv,cmpl_complex,dir_he_dss,sign_info,stem,tense,motion_type,comments,preposition_1,preposition_2,preposition_3,preposition_4,preposition_5,preposition_6,preposition_7,reconstructed_verse,spatial_arg_type
362941,HLK[,MT,Ecclesiastes,10,15,LKT,<ML H KSJLJM TJG<NW >CR L> JD< L LKT >L <JR,L LKT >L <JR,,>L <JR,>L <JR/,,0.0,prep,,,und,subs,simple,,,qal,infc,,,>L,,,,,,,,
363019,HLK[,MT,Ecclesiastes,10,20,JWLJK,GM B MD<K MLK >L TQLL W B XDRJ MCKBK >L TQLL <CJR KJ <WP H CMJM JWLJK >T H QWL W B<L HKNPJM JGJD DBR,KJ <WP H CMJM JWLJK >T H QWL,<WP H CMJM,no complement,no complement,,,,,,,,,,,hif,impf,,,,,,,,,,,
363068,NPL[,MT,Ecclesiastes,11,3,JPWL,>M JML>W H <BJM GCM <L H >RY JRJQW W >M JPWL <Y B DRWM W >M B YPWN MQWM C JPWL H <Y CM JHW>,W >M JPWL <Y B DRWM,<Y,B DRWM,B H DRWM/,,0.0,prep,,,det,subs,simple,,,qal,impf,,,B,,,,,,,,
363080,NPL[,MT,Ecclesiastes,11,3,JPWL,>M JML>W H <BJM GCM <L H >RY JRJQW W >M JPWL <Y B DRWM W >M B YPWN MQWM C JPWL H <Y CM JHW>,C JPWL H <Y,H <Y,no complement,no complement,,,,,,,,,,,qal,impf,,,,,,,,,,,
363133,NWX[,MT,Ecclesiastes,11,6,TNX,B BQR ZR< >T ZR<K W L <RB >L TNX JDK KJ >JNK JWD< >J ZH JKCR H ZH >W ZH W >M CNJHM K >XD VWBJM,W L <RB >L TNX JDK,,no complement,no complement,,,,,,,,,,,hif,impf,,,,,,,,,,,
363186,BW>[,MT,Ecclesiastes,11,8,B>,KJ >M CNJM HRBH JXJH H >DM B KLM JFMX W JZKR >T JMJ H XCK KJ HRBH JHJW KL C B> HBL,C B>,,no complement,no complement,,,,,,,,,,,qal,perf,,,,,,,,,,,
363199,HLK[,MT,Ecclesiastes,11,9,HLK,FMX BXWR B JLDWTJK W JVJBK LBK B JMJ BXWRWTK W HLK B DRKJ LBK W B MR>J <JNJK W D< KJ <L KL >LH JBJ>K H >LHJM B MCPV,W HLK B DRKJ LBK W B MR>J <JNJK,,B DRKJ LBK W B MR>J <JNJK,B DRK/ LB/ W B MR>H/ <JN/,,0.0,prep + prep,,,det,subs,complex,,,piel,impv,,,B,B,,,,,,,
363213,BW>[,MT,Ecclesiastes,11,9,JBJ>K,FMX BXWR B JLDWTJK W JVJBK LBK B JMJ BXWRWTK W HLK B DRKJ LBK W B MR>J <JNJK W D< KJ <L KL >LH JBJ>K H >LHJM B MCPV,KJ <L KL >LH JBJ>K H >LHJM B MCPV,H >LHJM,B MCPV,B H MCPV/,,0.0,prep,,,det,subs,simple,,,hif,impf,,,B,,,,,,,,
363246,BW>[,MT,Ecclesiastes,12,1,JB>W,W ZKR >T BWR>JK B JMJ BXWRTJK <D >CR L> JB>W JMJ H R<H W HGJ<W CNJM >CR T>MR >JN LJ BHM XPY,<D >CR L> JB>W JMJ H R<H,JMJ H R<H,no complement,no complement,,,,,,,,,,,qal,impf,,,,,,,,,,,
363275,CWB[,MT,Ecclesiastes,12,2,CBW,<D >CR L> TXCK H CMC W H >WR W H JRX W H KWKBJM W CBW H <BJM >XR H GCM,W CBW H <BJM >XR H GCM,H <BJM,no complement,no complement,,,,,,,,,,,qal,perf,,,,,,,,,,,
363359,SBB[,MT,Ecclesiastes,12,5,SBBW,GM M GBH JR>W W XTXTJM B DRK W JN>Y H CQD W JSTBL H XGB W TPR H >BJWNH KJ HLK H >DM >L BJT <WLMW W SBBW B CWQ H SPDJM,W SBBW B CWQ H SPDJM,H SPDJM,B CWQ,B H CWQ=/,,0.0,prep,,,det,subs,simple,,,qal,perf,,,B,,,,,,,,
363373,RWY[,MT,Ecclesiastes,12,6,TRY,<D >CR L> JRXQ XBL H KSP W TRY GLT H ZHB W TCBR KD <L H MBW< W NRY H GLGL >L H BWR,W TRY GLT H ZHB,GLT H ZHB,no complement,no complement,,,,,,,,,,,qal,impf,,,,,,,,,,,
363391,CWB[,MT,Ecclesiastes,12,7,JCB,W JCB H <PR <L H >RY K C HJH W H RWX TCWB >L H >LHJM >CR NTNH,W JCB H <PR <L H >RY,H <PR,<L H >RY,<L H >RY/,,0.0,prep,,,det,subs,simple,,,qal,impf,,,<L,,,,,,,,
363403,CWB[,MT,Ecclesiastes,12,7,TCWB,W JCB H <PR <L H >RY K C HJH W H RWX TCWB >L H >LHJM >CR NTNH,W H RWX TCWB >L H >LHJM,H RWX,>L H >LHJM,>L H >LHJM/,,0.0,prep,,,det,subs,simple,,,qal,impf,,,>L,,,,,,,,
363502,BW>[,MT,Ecclesiastes,12,14,JB>,KJ >T KL M<FH H >LHJM JB> B MCPV <L KL N<LM >M VWB W >M R<,KJ >T KL M<FH H >LHJM JB> B MCPV,H >LHJM,B MCPV,B MCPV/,,0.0,prep,,,und,subs,simple,,,hif,impf,,,B,,,,,,,,
