verb_id,book,chapter,verse_num,clause,cl_type,prec_cl,pr_cl_type,next_cl,n_cl_type
224537,Isaiah,37,14,וַיַּ֨עַל֙ בֵּ֣ית יְהוָ֔ה ,Way0,וַיִּקְרָאֵ֑הוּ ,Way0,וַיִּפְרְשֵׂ֥הוּ חִזְקִיָּ֖הוּ לִפְנֵ֥י יְהוָֽה׃ ,WayX
224597,Isaiah,37,17,אֲשֶׁ֣ר שָׁלַ֔ח ,xQt0,וּשְׁמַ֗ע אֵ֚ת כָּל־דִּבְרֵ֣י סַנְחֵרִ֔יב ,WIm0,לְחָרֵ֖ף אֱלֹהִ֥ים חָֽי׃ ,InfC
224654,Isaiah,37,21,וַיִּשְׁלַח֙ יְשַֽׁעְיָ֣הוּ בֶן־אָמֹ֔וץ אֶל־חִזְקִיָּ֖הוּ ,WayX,,,לֵאמֹ֑ר ,InfC
224721,Isaiah,37,24,בְּרֹ֥ב רִכְבִּ֛י אֲנִ֥י עָלִ֛יתִי מְרֹ֥ום הָרִ֖ים יַרְכְּתֵ֣י לְבָנֹ֑ון ,XQtl,וַתֹּ֗אמֶר ,Way0,וְאֶכְרֹ֞ת קֹומַ֤ת אֲרָזָיו֙ מִבְחַ֣ר בְּרֹשָׁ֔יו ,WYq0
224733,Isaiah,37,24,וְאָבֹוא֙ מְרֹ֣ום קִצֹּ֔ו יַ֖עַר כַּרְמִלֹּֽו׃ ,WYq0,וְאֶכְרֹ֞ת קֹומַ֤ת אֲרָזָיו֙ מִבְחַ֣ר בְּרֹשָׁ֔יו ,WYq0,,
224765,Isaiah,37,26,עַתָּ֣ה הֲבֵאתִ֔יהָ ,xQt0,וִיצַרְתִּ֑יהָ ,WQt0,וּתְהִ֗י ,WYq0
224797,Isaiah,37,28,וְצֵאתְךָ֥ ,InfC,שִׁבְתְּךָ֛ ,InfC,וּבֹואֲךָ֖ ,InfC
224799,Isaiah,37,28,וּבֹואֲךָ֖ ,InfC,וְצֵאתְךָ֥ ,InfC,וְ,Ellp
224810,Isaiah,37,29,וְשַׁאֲנַנְךָ֖ עָלָ֣ה בְאָזְנָ֑י ,WXQt,יַ֚עַן הִתְרַגֶּזְךָ֣ אֵלַ֔י ,InfC,וְשַׂמְתִּ֨י חַחִ֜י בְּאַפֶּ֗ךָ ,WQt0
224823,Isaiah,37,29,וַהֲשִׁ֣יבֹתִ֔יךָ בַּדֶּ֖רֶךְ ,WQt0,וּמִתְגִּי֙ בִּשְׂפָתֶ֔יךָ ,Ellp,אֲשֶׁר־בָּ֥אתָ בָּֽהּ׃ ,xQt0
224828,Isaiah,37,29,אֲשֶׁר־בָּ֥אתָ בָּֽהּ׃ ,xQt0,וַהֲשִׁ֣יבֹתִ֔יךָ בַּדֶּ֖רֶךְ ,WQt0,,
224879,Isaiah,37,32,כִּ֤י מִירֽוּשָׁלִַ֨ם֙ תֵּצֵ֣א שְׁאֵרִ֔ית ,xYqX,,,וּפְלֵיטָ֖ה מֵהַ֣ר צִיֹּ֑ון ,Ellp
