verb_id,lex,scroll,book,chapter,verse,g_cons,hebrew,g_cons_verse,stem,tense,subject,subj_heb,complement,cmpl_heb
1900109,JRD[,1Qisaa,Isaiah,14,19,JWRDW,יורדו ,W >TH HWCLKTH M QWBRK K NYR NT<B LBC HRWGJM MV<NJ XRB JWRDW >L >BNJ BWR K PGR MWBS,qal,ptca,,,[],
216857,BW>[,MT,Isaiah,14,2,HBJ>WM,הֱבִיא֣וּם ,W LQXWM <MJM W HBJ>WM >L MQWMM W HTNXLWM BJT JFR>L <L >DMT JHWH L <BDJM W L CPXWT W HJW CBJM L CBJHM W RDW B NGFJHM,hif,perf,,,>L MQWMM,אֶל־מְקֹומָם֒ 
1899844,BW>[,1Qisaa,Isaiah,14,2,HBJ>WM,הביאו׳ם ,W LQXWM <MJM RBJM W HBJ>WM >L >DMTM W >L MQWMM W HTNXLWM BJT JFR>L >L >DMT JHWH L <BDJM W L CPXWT W HJW CWBJM L CWBJHM W RDJM B NWGFJHM,hifil,perf,,,[],
1900118,NXT[,1Qisaa,Isaiah,14,20,TXT,תחת ,LW> TXT >WTM B QBWRH KJ >RYK CXTH <MK HRGTH LW> JQR>W L <WLM ZR< MR<JM,hifil,impf,,,[],
217204,SWR[,MT,Isaiah,14,25,SR,סָ֤ר ,L CBR >CWR B >RYJ W <L HRJ >BWSNW W SR M <LJHM <LW W SBLW M <L CKMW JSWR,qal,perf,<LW,עֻלֹּ֔ו ,M <LJHM,מֵֽעֲלֵיהֶם֙ 
217213,SWR[,MT,Isaiah,14,25,JSWR,יָסֽוּר׃ ,L CBR >CWR B >RYJ W <L HRJ >BWSNW W SR M <LJHM <LW W SBLW M <L CKMW JSWR,qal,impf,SBLW,סֻ֨בֳּלֹ֔ו ,M <L CKMW,מֵעַ֥ל שִׁכְמֹ֖ו 
1900216,SWR[,1Qisaa,Isaiah,14,25,SR,סר ,L CBWR >CWR B >RYJ W <L HRJ >BWSNW W SR M <LJKMH <LW W SBLW M <L CKMKH JSWR,qal,perf,,,[],
1900225,SWR[,1Qisaa,Isaiah,14,25,JSWR,יסור ,L CBWR >CWR B >RYJ W <L HRJ >BWSNW W SR M <LJKMH <LW W SBLW M <L CKMKH JSWR,qal,impf,,,[],
217246,CWB[,MT,Isaiah,14,27,JCJBNH,יְשִׁיבֶֽנָּה׃ פ ,KJ JHWH YB>WT J<Y W MJ JPR W JDW H NVWJH W MJ JCJBNH,hif,impf,MJ,מִ֥י ,[],
1900260,CWB[,1Qisaa,Isaiah,14,27,JCJBNH,ישיב׳נה ,KJ> JHWH YB>WT J<Y W MJ JPR W JDJW H NVWJH W MJ JCJBNH,hifil,impf,,,[],
