book_nr,book_name,chapter_nr,chapter_genre,verse_nr,verse_genre,verse_language
1,Genesis,14,prose,11,prose,Hebrew
1,Genesis,14,prose,12,prose,Hebrew
1,Genesis,14,prose,13,prose,Hebrew
1,Genesis,14,prose,14,prose,Hebrew
1,Genesis,14,prose,15,prose,Hebrew
1,Genesis,14,prose,16,prose,Hebrew
1,Genesis,14,prose,17,prose,Hebrew
1,Genesis,14,prose,18,prose,Hebrew
1,Genesis,14,prose,19,prose,Hebrew
1,Genesis,14,prose,20,prose,Hebrew
1,Genesis,14,prose,21,prose,Hebrew
1,Genesis,14,prose,22,prose,Hebrew
1,Genesis,14,prose,23,prose,Hebrew
1,Genesis,14,prose,24,prose,Hebrew
1,Genesis,15,prose,1,prose,Hebrew
1,Genesis,15,prose,2,prose,Hebrew
1,Genesis,15,prose,3,prose,Hebrew
1,Genesis,15,prose,4,prose,Hebrew
1,Genesis,15,prose,5,prose,Hebrew
1,Genesis,15,prose,6,prose,Hebrew
1,Genesis,15,prose,7,prose,Hebrew
1,Genesis,15,prose,8,prose,Hebrew
1,Genesis,15,prose,9,prose,Hebrew
1,Genesis,15,prose,10,prose,Hebrew
1,Genesis,15,prose,11,prose,Hebrew
1,Genesis,15,prose,12,prose,Hebrew
1,Genesis,15,prose,13,prose,Hebrew
1,Genesis,15,prose,14,prose,Hebrew
1,Genesis,15,prose,15,prose,Hebrew
1,Genesis,15,prose,16,prose,Hebrew
1,Genesis,15,prose,17,prose,Hebrew
1,Genesis,15,prose,18,prose,Hebrew
1,Genesis,15,prose,19,prose,Hebrew
1,Genesis,15,prose,20,prose,Hebrew
1,Genesis,15,prose,21,prose,Hebrew
1,Genesis,16,prose,1,prose,Hebrew
1,Genesis,16,prose,2,prose,Hebrew
1,Genesis,16,prose,3,prose,Hebrew
1,Genesis,16,prose,4,prose,Hebrew
1,Genesis,16,prose,5,prose,Hebrew
1,Genesis,16,prose,6,prose,Hebrew
1,Genesis,16,prose,7,prose,Hebrew
1,Genesis,16,prose,8,prose,Hebrew
1,Genesis,16,prose,9,prose,Hebrew
1,Genesis,16,prose,10,prose,Hebrew
1,Genesis,16,prose,11,prose,Hebrew
1,Genesis,16,prose,12,prose,Hebrew
1,Genesis,16,prose,13,prose,Hebrew
1,Genesis,16,prose,14,prose,Hebrew
1,Genesis,16,prose,15,prose,Hebrew
1,Genesis,16,prose,16,prose,Hebrew
1,Genesis,17,prose,1,prose,Hebrew
1,Genesis,17,prose,2,prose,Hebrew
1,Genesis,17,prose,3,prose,Hebrew
1,Genesis,17,prose,4,prose,Hebrew
1,Genesis,17,prose,5,prose,Hebrew
1,Genesis,17,prose,6,prose,Hebrew
1,Genesis,17,prose,7,prose,Hebrew
1,Genesis,17,prose,8,prose,Hebrew
1,Genesis,17,prose,9,prose,Hebrew
1,Genesis,17,prose,10,prose,Hebrew
1,Genesis,17,prose,11,prose,Hebrew
1,Genesis,17,prose,12,prose,Hebrew
1,Genesis,17,prose,13,prose,Hebrew
1,Genesis,17,prose,14,prose,Hebrew
1,Genesis,17,prose,15,prose,Hebrew
1,Genesis,17,prose,16,prose,Hebrew
1,Genesis,17,prose,17,prose,Hebrew
1,Genesis,17,prose,18,prose,Hebrew
1,Genesis,17,prose,19,prose,Hebrew
1,Genesis,17,prose,20,prose,Hebrew
1,Genesis,17,prose,21,prose,Hebrew
1,Genesis,17,prose,22,prose,Hebrew
1,Genesis,17,prose,23,prose,Hebrew
1,Genesis,17,prose,24,prose,Hebrew
1,Genesis,17,prose,25,prose,Hebrew
1,Genesis,17,prose,26,prose,Hebrew
1,Genesis,17,prose,27,prose,Hebrew
1,Genesis,18,prose,1,prose,Hebrew
1,Genesis,18,prose,2,prose,Hebrew
1,Genesis,18,prose,3,prose,Hebrew
1,Genesis,18,prose,4,prose,Hebrew
1,Genesis,18,prose,5,prose,Hebrew
1,Genesis,18,prose,6,prose,Hebrew
1,Genesis,18,prose,7,prose,Hebrew
1,Genesis,18,prose,8,prose,Hebrew
1,Genesis,18,prose,9,prose,Hebrew
1,Genesis,18,prose,10,prose,Hebrew
1,Genesis,18,prose,11,prose,Hebrew
1,Genesis,18,prose,12,prose,Hebrew
1,Genesis,18,prose,13,prose,Hebrew
1,Genesis,18,prose,14,prose,Hebrew
1,Genesis,18,prose,15,prose,Hebrew
1,Genesis,18,prose,16,prose,Hebrew
1,Genesis,18,prose,17,prose,Hebrew
1,Genesis,18,prose,18,prose,Hebrew
1,Genesis,18,prose,19,prose,Hebrew
1,Genesis,18,prose,20,prose,Hebrew
1,Genesis,18,prose,21,prose,Hebrew
1,Genesis,18,prose,22,prose,Hebrew
1,Genesis,18,prose,23,prose,Hebrew
1,Genesis,18,prose,24,prose,Hebrew
1,Genesis,18,prose,25,prose,Hebrew
1,Genesis,18,prose,26,prose,Hebrew
1,Genesis,18,prose,27,prose,Hebrew
1,Genesis,18,prose,28,prose,Hebrew
1,Genesis,18,prose,29,prose,Hebrew
1,Genesis,18,prose,30,prose,Hebrew
1,Genesis,18,prose,31,prose,Hebrew
1,Genesis,18,prose,32,prose,Hebrew
1,Genesis,18,prose,33,prose,Hebrew
1,Genesis,19,prose,1,prose,Hebrew
1,Genesis,19,prose,2,prose,Hebrew
1,Genesis,19,prose,3,prose,Hebrew
1,Genesis,19,prose,4,prose,Hebrew
1,Genesis,19,prose,5,prose,Hebrew
1,Genesis,19,prose,6,prose,Hebrew
1,Genesis,19,prose,7,prose,Hebrew
1,Genesis,19,prose,8,prose,Hebrew
1,Genesis,19,prose,9,prose,Hebrew
1,Genesis,19,prose,10,prose,Hebrew
1,Genesis,19,prose,11,prose,Hebrew
1,Genesis,19,prose,12,prose,Hebrew
1,Genesis,19,prose,13,prose,Hebrew
1,Genesis,19,prose,14,prose,Hebrew
1,Genesis,19,prose,15,prose,Hebrew
1,Genesis,19,prose,16,prose,Hebrew
1,Genesis,19,prose,17,prose,Hebrew
1,Genesis,19,prose,18,prose,Hebrew
1,Genesis,19,prose,19,prose,Hebrew
1,Genesis,19,prose,20,prose,Hebrew
1,Genesis,19,prose,21,prose,Hebrew
1,Genesis,19,prose,22,prose,Hebrew
1,Genesis,19,prose,23,prose,Hebrew
1,Genesis,19,prose,24,prose,Hebrew
1,Genesis,19,prose,25,prose,Hebrew
1,Genesis,19,prose,26,prose,Hebrew
1,Genesis,19,prose,27,prose,Hebrew
1,Genesis,19,prose,28,prose,Hebrew
1,Genesis,19,prose,29,prose,Hebrew
1,Genesis,19,prose,30,prose,Hebrew
1,Genesis,19,prose,31,prose,Hebrew
1,Genesis,19,prose,32,prose,Hebrew
1,Genesis,19,prose,33,prose,Hebrew
1,Genesis,19,prose,34,prose,Hebrew
1,Genesis,19,prose,35,prose,Hebrew
1,Genesis,19,prose,36,prose,Hebrew
1,Genesis,19,prose,37,prose,Hebrew
1,Genesis,19,prose,38,prose,Hebrew
1,Genesis,20,prose,1,prose,Hebrew
1,Genesis,20,prose,2,prose,Hebrew
1,Genesis,20,prose,3,prose,Hebrew
1,Genesis,20,prose,4,prose,Hebrew
1,Genesis,20,prose,5,prose,Hebrew
1,Genesis,20,prose,6,prose,Hebrew
1,Genesis,20,prose,7,prose,Hebrew
1,Genesis,20,prose,8,prose,Hebrew
1,Genesis,20,prose,9,prose,Hebrew
1,Genesis,20,prose,10,prose,Hebrew
1,Genesis,20,prose,11,prose,Hebrew
1,Genesis,20,prose,12,prose,Hebrew
1,Genesis,20,prose,13,prose,Hebrew
1,Genesis,20,prose,14,prose,Hebrew
1,Genesis,20,prose,15,prose,Hebrew
1,Genesis,20,prose,16,prose,Hebrew
1,Genesis,20,prose,17,prose,Hebrew
1,Genesis,20,prose,18,prose,Hebrew
1,Genesis,21,prose,1,prose,Hebrew
1,Genesis,21,prose,2,prose,Hebrew
1,Genesis,21,prose,3,prose,Hebrew
1,Genesis,21,prose,4,prose,Hebrew
1,Genesis,21,prose,5,prose,Hebrew
1,Genesis,21,prose,6,prose,Hebrew
1,Genesis,21,prose,7,prose,Hebrew
1,Genesis,21,prose,8,prose,Hebrew
1,Genesis,21,prose,9,prose,Hebrew
1,Genesis,21,prose,10,prose,Hebrew
1,Genesis,21,prose,11,prose,Hebrew
1,Genesis,21,prose,12,prose,Hebrew
1,Genesis,21,prose,13,prose,Hebrew
1,Genesis,21,prose,14,prose,Hebrew
1,Genesis,21,prose,15,prose,Hebrew
1,Genesis,21,prose,16,prose,Hebrew
1,Genesis,21,prose,17,prose,Hebrew
1,Genesis,21,prose,18,prose,Hebrew
1,Genesis,21,prose,19,prose,Hebrew
1,Genesis,21,prose,20,prose,Hebrew
1,Genesis,21,prose,21,prose,Hebrew
1,Genesis,21,prose,22,prose,Hebrew
1,Genesis,21,prose,23,prose,Hebrew
1,Genesis,21,prose,24,prose,Hebrew
1,Genesis,21,prose,25,prose,Hebrew
1,Genesis,21,prose,26,prose,Hebrew
1,Genesis,21,prose,27,prose,Hebrew
1,Genesis,21,prose,28,prose,Hebrew
1,Genesis,21,prose,29,prose,Hebrew
1,Genesis,21,prose,30,prose,Hebrew
1,Genesis,21,prose,31,prose,Hebrew
1,Genesis,21,prose,32,prose,Hebrew
1,Genesis,21,prose,33,prose,Hebrew
1,Genesis,21,prose,34,prose,Hebrew
1,Genesis,22,prose,1,prose,Hebrew
1,Genesis,22,prose,2,prose,Hebrew
1,Genesis,22,prose,3,prose,Hebrew
1,Genesis,22,prose,4,prose,Hebrew
1,Genesis,22,prose,5,prose,Hebrew
1,Genesis,22,prose,6,prose,Hebrew
1,Genesis,22,prose,7,prose,Hebrew
1,Genesis,22,prose,8,prose,Hebrew
1,Genesis,22,prose,9,prose,Hebrew
1,Genesis,22,prose,10,prose,Hebrew
1,Genesis,22,prose,11,prose,Hebrew
1,Genesis,22,prose,12,prose,Hebrew
1,Genesis,22,prose,13,prose,Hebrew
1,Genesis,22,prose,14,prose,Hebrew
1,Genesis,22,prose,15,prose,Hebrew
1,Genesis,22,prose,16,prose,Hebrew
1,Genesis,22,prose,17,prose,Hebrew
1,Genesis,22,prose,18,prose,Hebrew
1,Genesis,22,prose,19,prose,Hebrew
1,Genesis,22,prose,20,prose,Hebrew
1,Genesis,22,prose,21,prose,Hebrew
1,Genesis,22,prose,22,prose,Hebrew
1,Genesis,22,prose,23,prose,Hebrew
1,Genesis,22,prose,24,prose,Hebrew
1,Genesis,23,prose,1,prose,Hebrew
1,Genesis,23,prose,2,prose,Hebrew
1,Genesis,23,prose,3,prose,Hebrew
1,Genesis,23,prose,4,prose,Hebrew
1,Genesis,23,prose,5,prose,Hebrew
1,Genesis,23,prose,6,prose,Hebrew
1,Genesis,23,prose,7,prose,Hebrew
1,Genesis,23,prose,8,prose,Hebrew
1,Genesis,23,prose,9,prose,Hebrew
1,Genesis,23,prose,10,prose,Hebrew
1,Genesis,23,prose,11,prose,Hebrew
1,Genesis,23,prose,12,prose,Hebrew
1,Genesis,23,prose,13,prose,Hebrew
1,Genesis,23,prose,14,prose,Hebrew
1,Genesis,23,prose,15,prose,Hebrew
1,Genesis,23,prose,16,prose,Hebrew
1,Genesis,23,prose,17,prose,Hebrew
1,Genesis,23,prose,18,prose,Hebrew
1,Genesis,23,prose,19,prose,Hebrew
1,Genesis,23,prose,20,prose,Hebrew
1,Genesis,24,prose,1,prose,Hebrew
1,Genesis,24,prose,2,prose,Hebrew
1,Genesis,24,prose,3,prose,Hebrew
1,Genesis,24,prose,4,prose,Hebrew
1,Genesis,24,prose,5,prose,Hebrew
1,Genesis,24,prose,6,prose,Hebrew
