verb_id,lex,scroll,book,chapter,verse_num,gcons_verb,gcons_verse,gcons_clause,subject,complement,cmpl_lex,cmpl_translation,dir_he,cmpl_constr,cmpl_nt,cmpl_anim,cmpl_det,cmpl_indiv,cmpl_complex,dir_he_dss,sign_info,stem,tense,motion_type,comments,preposition_1,preposition_2,preposition_3,preposition_4,preposition_5,preposition_6,preposition_7,reconstructed_verse,spatial_arg_type
295018,CWB[,MT,Joel,4,1,>CWB,KJ HNH B JMJM H HMH W B <T H HJ> >CR >CWB >T CBWT JHWDH W JRWCLM,>CR >CWB >T CBWT JHWDH W JRWCLM,,no complement,no complement,,,,,,,,,,,hif,impf,,,,,,,,,,,
2091797,CWB[,Mur88,Joel,4,1,>CWB,KJ HNH B JMJM H HJ> W B <T H HJ> >CR >CWB >T CBWT JHWDH W JRWCLM,None,None,,,,,,,,,,,0.0,00 000 0 0000 0 000 0 0 00 1 110 111 1000 00 0000 00000 0 000000,qal,impf,,,,,,,,,,KJ HNH B JMJM H HJ> W B <T [H HJ]> [>CR >]CWB >T CBWT JHWDH W JRWCLM,
295031,JRD[,MT,Joel,4,2,HWRDTJM,W QBYTJ >T KL H GWJM W HWRDTJM >L <MQ JHWCPV W NCPVTJ <MM CM <L <MJ W NXLTJ JFR>L >CR PZRW B GWJM W >T >RYJ XLQW,W HWRDTJM >L <MQ JHWCPV,,>L <MQ JHWCPV,>L <MQ/ JHWCPV/,,0.0,prep,pers,anim,det,subs,complex,,,hif,perf,,,>L,,,,,,,,
2091811,JRD[,Mur88,Joel,4,2,HWRDTJM,W QBYTJ >T KL H GWJM W HWRDTJM >L <MQ JHWCPV W NCPVTJ <MM CM <L <MJ W NXLTJ JFR>L >CR PZRW B GWJM W >T >RYJ XLQW,None,None,,,,,,,,,,,0.0,1 10000 00 00 0 1110 1 0000110 00 000 000000 0 000000 110 00 00 000 0 00000 00000 000 0000 0 0000 0 00 0011 1000,hif,perf,,,,,,,,,,[W Q]BYTJ >T KL H [GWJ]M [W] HWRD[TJ]M >L <MQ JHWCPV W NCPVTJ [<M]M CM <L <MJ W NXLTJ JFR>L >CR PZRW B GWJM W >T >R[YJ X]LQW,
295098,CWB[,MT,Joel,4,4,>CJB,W GM MH >TM LJ YR W YJDWN W KL GLJLWT PLCT H GMWL >TM MCLMJM <LJ W >M GMLJM >TM <LJ QL MHRH >CJB GMLKM B R>CKM,QL MHRH >CJB GMLKM B R>CKM,,B R>CKM,B R>C/,,0.0,prep,,,det,subs,complex,,,hif,impf,,,B,,,,,,,,
2091877,CWB[,Mur88,Joel,4,4,>CJB,W GM MH >TM LJ YR W YJDWN W KL GLJLWT PLCT H GMWL >TM MCLMJM <LJ W >M GMLJM >TM <LJ QL MHRH >CJB GMLKM B R>CKM,QL MHRH >CJB GMLKM B R>CKM,,B R>CKM,,,0.0,,,,,,,0.0,0 00 00 000 00 00 0 00000 0 00 000000 0000 0 0000 000 000000 000 0 00 00000 100 000 00 0000 0000 00000 1 11100,hif,impf,,,B,,,,,,,W GM MH >TM LJ YR W YJDWN W KL GLJLWT PLCT H GMWL >TM MCLMJM <LJ W >M GMLJM [>]TM <LJ QL MHRH >CJB GMLKM [B R>C]KM,
2043698,MHR[,4Q82,Joel,4,4,MHR,W GM MH >TM LJ YR W YJDWN W KWL GLJLT PLCT H GMWL >TM MCLMJM <LJ W >M GMLJM >TM <LJ QL MHR >CJB GMWLKM B R>CKM,None,None,,,,,,,,,,,0.0,1 11 11 111 11 11 1 11111 1 000 00000 0000 1 1111 111 111111 111 1 11 11111 111 111 11 100 0000 011111 1 11111,piel,infa,,,,,,,,,,[W GM MH >TM LJ YR W YJDWN W] KWL GLJLT PLCT [H GMWL >TM MCLMJM <LJ W >M GMLJM >TM <LJ QL M]HR >CJB G[MWLKM B R>CKM],
2043699,CWB[,4Q82,Joel,4,4,>CJB,W GM MH >TM LJ YR W YJDWN W KWL GLJLT PLCT H GMWL >TM MCLMJM <LJ W >M GMLJM >TM <LJ QL MHR >CJB GMWLKM B R>CKM,None,None,,,,,,,,,,,0.0,1 11 11 111 11 11 1 11111 1 000 00000 0000 1 1111 111 111111 111 1 11 11111 111 111 11 100 0000 011111 1 11111,hif,impf,,,,,,,,,,[W GM MH >TM LJ YR W YJDWN W] KWL GLJLT PLCT [H GMWL >TM MCLMJM <LJ W >M GMLJM >TM <LJ QL M]HR >CJB G[MWLKM B R>CKM],
295111,BW>[,MT,Joel,4,5,HB>TM,>CR KSPJ W ZHBJ LQXTM W MXMDJ H VBJM HB>TM L HJKLJKM,W MXMDJ H VBJM HB>TM L HJKLJKM,,L HJKLJKM,L HJKL/,,0.0,prep,,,det,subs,complex,,,hif,perf,,,L,,,,,,,,
2091891,BW>[,Mur88,Joel,4,5,HB>TM,>CR KSPJ W ZHBJ LQXTM W MXMDJ H VWBJM HB>TM L HJKLKM,W MXMDJ H VWBJM HB>TM L HJKLKM,,L HJKLKM,,,0.0,,,,,,,0.0,000 0000 0 0001 00000 0 00000 0 00000 00000 0 000000,hif,perf,,,L,,,,,,,>CR KSPJ W ZHB[J] LQXTM W MXMDJ H VWBJM HB>TM L HJKLKM,
2043713,BW>[,4Q82,Joel,4,5,HB>TM,>CR KSPJ W ZHBJ LQXTM W MXMDJ H VBJM HB>TM L HJKLJKM,W MXMDJ H VBJM HB>TM L HJKLJKM,,L HJKLJKM,,,0.0,,,,,,,0.0,111 1111 1 1111 11111 1 11111 1 1111 00011 1 1111111,hif,perf,,,L,,,,,,,[>CR KSPJ W ZHBJ LQXTM W MXMDJ H VBJM] HB>[TM L HJKLJKM],
295140,CWB[,MT,Joel,4,7,HCBTJ,HNNJ M<JRM MN H MQWM >CR MKRTM >TM CMH W HCBTJ GMLKM B R>CKM,W HCBTJ GMLKM B R>CKM,,B R>CKM,B R>C/,,0.0,prep,,,det,subs,complex,,,hif,perf,,,B,,,,,,,,
2091922,CWB[,Mur88,Joel,4,7,HCBTJ,HNNJ M<JRM MN H MQWM >CR MKRTM >TM CMH W HCBTJ GMLKM B R>CKM,W HCBTJ GMLKM B R>CKM,,B R>CKM,,,0.0,,,,,,,1.0,1111 10000 00 0 0000 000 00000 000 000 0 00000 11111 1 11110,hif,perf,,,B,,,,,,,[HNNJ M]<JRM MN H MQWM >CR MKRTM >TM CMH W HCBTJ [GMLKM B R>CK]M,
2043744,CWB[,4Q82,Joel,4,7,HCBTJ,HNNJ M<JRM MN H MQWM >CR MKRTM >WTM CMH W HCBTJ GMLKM B R>CKM,W HCBTJ GMLKM B R>CKM,,B R>CKM,,,0.0,,,,,,,1.0,1111 11111 11 1 1111 111 11110 0000 000 1 11111 11111 1 11111,hif,perf,,,B,,,,,,,[HNNJ M<JRM MN H MQWM >CR MKRT]M >WTM CMH [W HCBTJ GMLKM B R>CKM],
295175,NGC[,MT,Joel,4,9,JGCW,QR>W Z>T B GWJM QDCW MLXMH H<JRW H GBWRJM JGCW J<LW KL >NCJ H MLXMH,JGCW,,no complement,no complement,,,,,,,,,,,qal,impf,,,,,,,,,,,
295176,<LH[,MT,Joel,4,9,J<LW,QR>W Z>T B GWJM QDCW MLXMH H<JRW H GBWRJM JGCW J<LW KL >NCJ H MLXMH,J<LW KL >NCJ H MLXMH,KL >NCJ H MLXMH,no complement,no complement,,,,,,,,,,,qal,impf,,,,,,,,,,,
2091958,NGC[,Mur88,Joel,4,9,JGCW,QR>W Z>T B GWJM QDCW MLXMH H<JRW H GBWRJM JGCW J<LW KL >NCJ H MLXMH,None,None,,,,,,,,,,,0.0,0100 000 0 1110 0001 00000 00000 0 000000 1111 1111 00 0000 0 00000,qal,impf,,,,,,,,,,Q[R]>W Z>T B [GWJ]M QDC[W] MLXMH H<JRW H GBWRJM [JGCW J<LW] KL >NCJ H MLXMH,
2091959,<LH[,Mur88,Joel,4,9,J<LW,QR>W Z>T B GWJM QDCW MLXMH H<JRW H GBWRJM JGCW J<LW KL >NCJ H MLXMH,None,None,,,,,,,,,,,0.0,0100 000 0 1110 0001 00000 00000 0 000000 1111 1111 00 0000 0 00000,qal,impf,,,,,,,,,,Q[R]>W Z>T B [GWJ]M QDC[W] MLXMH H<JRW H GBWRJM [JGCW J<LW] KL >NCJ H MLXMH,
2043780,NGC[,4Q82,Joel,4,9,JGCW,QJR>W Z>T B GWJM QDCW MLXMH H<JRW H GBWRJM JGCW J<LW KL >NCJ H MLXMH,None,None,,,,,,,,,,,0.0,00001 111 1 1111 1111 11111 11111 1 111111 1111 1111 11 1111 1 11111,qal,impf,,,,,,,,,,QJR>[W Z>T B GWJM QDCW MLXMH H<JRW H GBWRJM JGCW J<LW KL >NCJ H MLXMH],
