verb_id,lex,scroll,book,chapter,verse_num,gcons_verb,gcons_verse,gcons_clause,subject,complement,cmpl_lex,dir_he,dir_he_dss,sign_info,stem,tense,preposition_1,preposition_2,preposition_3,preposition_4,preposition_5,preposition_6,preposition_7
1946344,BW>[,4Q13,Exodus,2,18,TBW>NH,W TBW>NH >L R<W>L >BJHN W JW>MR MDW< MHRTN BW> H JWM,None,None,,,,0,1 111111 10 11111 11111 1 11111 1111 11111 111 0 011,qal,wayq,,,,,,,
1946351,MHR[,4Q13,Exodus,2,18,MHRTN,W TBW>NH >L R<W>L >BJHN W JW>MR MDW< MHRTN BW> H JWM,None,None,,,,0,1 111111 10 11111 11111 1 11111 1111 11111 111 0 011,piel,perf,,,,,,,
1946352,BW>[,4Q13,Exodus,2,18,BW>,W TBW>NH >L R<W>L >BJHN W JW>MR MDW< MHRTN BW> H JWM,None,None,,,,0,1 111111 10 11111 11111 1 11111 1111 11111 111 0 011,qal,infc,,,,,,,
1946357,BW>[,4Q13,Exodus,3,13,B>,B> >L BNJ JFR>L W >MRTJ >LJHM >LWHJ >BWTJKM CLXNJ >LJKM W >MRW LJ MH CMW MH >WMR >LJHM,None,None,,,,0,11 11 111 11111 1 11111 10000 00000 1111111 11111 11111 1 1111 11 11 101 11 1111 10000,qal,ptca,,,,,,,
1946432,HLK[,4Q13,Exodus,3,16,LK,LK W >SPTH >T ZQNJ BNJ JFR>L W >MRTH >LJHM JHWH >LWHJ >BWTJKM NR>H >LJ >LWHJ >BRHM W >LWHJ JFXQ W >LWHJ J<QWB L >MWR PQWD PQDTJ >TKM W >T H <FWJ LKM B MYRJM,None,None,,,,0,00 0 00000 00 0000 000 11110 1 11110 00000 0000 00011 1111111 1111 111 00000 00000 0 00000 0011 1 11110 00000 0 0000 0000 11111 1111 1 11 1 1111 000 0 00000,qal,impv,,,,,,,
1946470,<LH[,4Q13,Exodus,3,17,><LH,W >WMRH ><LH >TKM M <NJ MYRJM >L >RY H KN<NJ H XTJ H >MWRJ H PRZJ H XWJ W H JBWSJ W H GRGCJ >L >RY ZBT XLB W DBC,None,None,,,,0,0 00000 1111 1110 0 000 00000 00 111 1 11111 1 111 1 11111 0 0000 0 000 0 0 00001 1 1 11111 00 000 000 000 0 001,hif,impf,,,,,,,
1946505,BW>[,4Q13,Exodus,3,18,B>TH,W CM<W L QWLK W B>TH >TH W ZQNJ BNJ JFR>L >L MLK MYRJM W >MRTM >LJW JHWH >LWHJ H <BRJJM NQRH <LJNW W <TH NLKH N> DRK CLWCT JMJM B MDBR W NZBXH L JHWH >LWHJNW,None,None,,,,0,1 1111 1 1111 1 1111 111 0 0000 000 00000 00 001 11111 0 00000 0000 0000 00001 1 111111 1111 11111 0 000 0000 00 011 11111 1110 0 0000 1 00000 0 0000 0111111,qal,perf,,,,,,,
1946525,HLK[,4Q13,Exodus,3,18,NLKH,W CM<W L QWLK W B>TH >TH W ZQNJ BNJ JFR>L >L MLK MYRJM W >MRTM >LJW JHWH >LWHJ H <BRJJM NQRH <LJNW W <TH NLKH N> DRK CLWCT JMJM B MDBR W NZBXH L JHWH >LWHJNW,None,None,,,,0,1 1111 1 1111 1 1111 111 0 0000 000 00000 00 001 11111 0 00000 0000 0000 00001 1 111111 1111 11111 0 000 0000 00 011 11111 1110 0 0000 1 00000 0 0000 0111111,qal,impf,,,,,,,
1946548,HLK[,4Q13,Exodus,3,19,LKT,W >NJ JD<TJ KJ L> JTN >TKM MLK MYRJM L LKT KJ >M B JD XZQH,None,None,,,,0,1 111 11111 11 11 000 0000 000 11111 1 000 00 00 0 00 0000,qal,infc,,,,,,,
1946591,HLK[,4Q13,Exodus,3,21,TLKWN,W KN NTTJ >T XN H <M H ZH B <JNJ MYRJM W HJH KJ TLKWN L> TLKW RJQM,None,None,,,,0,0 00 1111 11 11 1 11 1 11 1 1111 11111 1 111 11 11111 11 1111 1111,qal,impf,,,,,,,
1946593,HLK[,4Q13,Exodus,3,21,TLKW,W KN NTTJ >T XN H <M H ZH B <JNJ MYRJM W HJH KJ TLKWN L> TLKW RJQM,None,None,,,,0,0 00 1111 11 11 1 11 1 11 1 1111 11111 1 111 11 11111 11 1111 1111,qal,impf,,,,,,,
