verb_id,lex,scroll,book,chapter,verse_num,gcons_verb,gcons_verse,gcons_clause,subject,complement,cmpl_lex,dir_he,dir_he_dss,sign_info,stem,tense,preposition_1,preposition_2,preposition_3,preposition_4,preposition_5,preposition_6,preposition_7
1893598,BW>[,1Q5,Deuteronomy,33,16,TBW>TH,W M MGD >RY W ML>H W RYWN CKNJ SNH TBW>TH L R>C JWSP W L QDQD NZJR >XJW,TBW>TH L R>C JWSP W L QDQD NZJR >XJW,,L R>C JWSP W L QDQD NZJR >XJW,,0,0,0 0 000 000 0 0111 1 1111 1111 111 111111 1 111 1111 1 1 1111 1111 1111,qal,impf,L,L,,,,,
1893629,JY>[,1Q5,Deuteronomy,33,18,Y>TK,W L ZBLWN >MR FMX ZBWLN B Y>TK W JFFKR B >HLJK,None,None,,,,0,1 0 00000 001 111 11111 1 1111 1 11111 1 11111,qal,infc,,,,,,,
1928468,<LH[,1Q13,Deuteronomy,5,5,<LJTM,>NKJ <MJD BJN JHWH W BJNJKM B <T H HJ> L HGJD LKM >T DBR JHWH KJ JRTM M PNJ H >C W L> <LJTM B HR L >MR,None,None,,,,0,1111 0000 011 1111 1 111111 1 11 1 111 0 1111 111 00 000 1100 00 0000 0 001 1 10 1 00 00011 1 10 0 000,qal,perf,,,,,,,
1928478,JY>[,1Q13,Deuteronomy,5,6,HWY>TJK,>NKJ JHWH >LHJK >CR HWY>TJK M >RY MYRJM M BJT <BDJM,>CR HWY>TJK M >RY MYRJM M BJT <BDJM,,M >RY MYRJM M BJT <BDJM,,0,0,0110 0011 11111 111 1111111 1 111 11111 1 111 10000,hif,perf,MN,MN,,,,,
1928634,NWX[,1Q13,Deuteronomy,5,14,JNWX,KJ B JWM H CBJ<J CBT L JHWH >LHJK L> T<FH KL ML>KH >TH W BNK W BTK W <BDK W >MTK W CWRK W XMRK W KL BHMTK W GRK >CR B C<RJK LM<N JNWX <BDK W >MTK KMWK,None,None,,,,0,00 0 000 1 11110 000 0 1110 00000 00 0000 11 11111 111 1 111 1 111 1 1111 1 1111 1 1111 1 1111 1 11 11111 1 100 011 1 11111 1111 1111 1111 1 1100 0000,qal,impf,,,,,,,
1928649,JY>[,1Q13,Deuteronomy,5,15,JWYJ>K,W ZKRT KJ <BD HJJT B >RY MYRJM W JWYJ>K JHWH >LHJK M CM B JD XZQH W B ZRW< NVWJH <L KN YWK JHWH >LHJK L <FWT >T JWM H CBT,W JWYJ>K JHWH >LHJK M CM B JD XZQH W B ZRW< NVWJH,JHWH >LHJK,M CM,,0,0,1 1110 00 000 0000 0 000 11111 1 111111 1111 11111 1 11 1 11 1111 1 1 1111 11111 11 11 000 0011 11111 1 1111 11 111 1 111,hif,wayq,MN,,,,,,
1928768,QRB[,1Q13,Deuteronomy,5,23,TQRBWN,W JHJ K CM<KM >T H QWL M TWK H XCK W H HR B<R B >C W TQRBWN >LJ KL R>CJ CBVJKM W ZQNJKM,None,None,,,,0,1 111 1 11111 11 1 111 1 111 1 111 1 1 11 111 1 11 1 110000 111 11 1111 111111 1 111111,qal,wayq,,,,,,,
1928852,QRB[,1Q13,Deuteronomy,5,27,QRB,QRB >TH W CM< >T KL >CR J>MR JHWH >LHJNW W >T TDBR >LJNW >T KL >CR JDBR JHWH >LHJNW >LJK W CM<NW,None,None,,,,0,111 111 1 111 11 11 111 1111 1111 000111 1 11 1111 11111 11 11 111 1111 1111 111111 1111 1 11111,qal,impv,,,,,,,
1928935,JRD[,1Q13,Deuteronomy,10,22,JRDW,B CB<JM NPC JRDW >BWTJK MYRJMH W <TH FMK JHWH >LHJK K KWKBJ H CMJM L RB,B CB<JM NPC JRDW >BWTJK MYRJMH,>BWTJK,MYRJMH,,1,1,1 11000 111 1100 000011 111111 1 111 111 1111 10000 0 11110 0 0000 1 11,qal,perf,,,,,,,
1928969,BW>[,1Q13,Deuteronomy,11,8,B>TM,LM<N TXZQW W B>TM W JRCTM >T H >RY >CR >TM <WBRJM CMH L RCTH,None,None,,,,1,1111 11111 1 1111 1 11111 11 1 111 111 000 000011 111 1 1111,qal,perf,,,,,,,
