verb_id,lex,scroll,book,chapter,verse_num,gcons_verb,gcons_verse,gcons_clause,subject,complement,cmpl_lex,dir_he,dir_he_dss,sign_info,stem,tense,preposition_1,preposition_2,preposition_3,preposition_4,preposition_5,preposition_6,preposition_7
1999510,BW>[,4Q51,1_Samuel,10,10,JBW>,W JBW> M CM H GB<TH W HNH XBL NBJ>JM L QR>TW W TYLX <LJW RWX >LHJM W JTNB>,None,None,,,,1,1 1111 1 11 1 11111 1 110 000 111111 1 11111 1 1111 1111 110 00001 1 11111,qal,wayq,,,,,,,
1999589,BW>[,4Q51,1_Samuel,10,13,JB>,W JKL M HTNB> W JB> H BJTH,None,None,,,,1,1 111 1 11111 1 111 1 1111,qal,wayq,,,,,,,
1999615,BW>[,4Q51,1_Samuel,10,14,NBW>H,W J>MR DWD C>WL >LJW W >L N<RW >N HLKTM W J>MR L BQC >T H >TNWT W NR>H KJ >JN W NBW>H >L CMW>L,W NBW>H >L CMW>L,,>L CMW>L,,0,0,0 0000 000 1111 1111 1 11 1111 11 11111 1 1111 1 111 11 1 11111 1 1111 11 100 0 00000 11 11111,qal,wayq,>L,,,,,,
1999708,NWX[,4Q51,1_Samuel,10,25,JNX,W JDBR CMW>L >L H <M >T MCPV H MLK W JKTB B SPR W JNX L PNJ JHWH W JCLX CMW>L >T KWL H <M W JLKW >JC L MQWMW,None,None,,,,0,1 1111 11111 11 1 11 11 0000 0 111 1 1111 1 111 1 111 1 111 1111 1 1111 11111 11 001 1 00 0 0000 000 0 00001,hif,wayq,,,,,,,
1999720,HLK[,4Q51,1_Samuel,10,25,JLKW,W JDBR CMW>L >L H <M >T MCPV H MLK W JKTB B SPR W JNX L PNJ JHWH W JCLX CMW>L >T KWL H <M W JLKW >JC L MQWMW,None,None,,,,0,1 1111 11111 11 1 11 11 0000 0 111 1 1111 1 111 1 111 1 111 1111 1 1111 11111 11 001 1 00 0 0000 000 0 00001,qal,wayq,,,,,,,
1999728,HLK[,4Q51,1_Samuel,10,26,HLK,W GM C>WL HLK L BJTW GB<TH W JLKW BNJ H XJL >CR NG< JHWH B LBBM,None,None,,,,1,1 10 1000 011 1 1111 11111 1 1111 000 0 000 000 000 0010 0 0000,qal,perf,,,,,,,
1999733,HLK[,4Q51,1_Samuel,10,26,JLKW,W GM C>WL HLK L BJTW GB<TH W JLKW BNJ H XJL >CR NG< JHWH B LBBM,None,None,,,,1,1 10 1000 011 1 1111 11111 1 1111 000 0 000 000 000 0010 0 0000,qal,wayq,,,,,,,
1999755,BW>[,4Q51,1_Samuel,10,27,HBJ>W,W BNJ H BLJ<L >MRW MH JWCJ<NW ZH W JBZWHW W LW> HBJ>W LW MNXH W NXC MLK BNJ <MWN HW> LXY >T BNJ GD W >T BNJ R>WBN B XZQH W NQR LHM KWL <JN JMJN W NTN >JN MWCJ< L JFR>L W LW> NC>R >JC B BNJ JFR>L >CR B <BR H JRDN >CR LW> NQR LW NXC MLK BNJ <MWN KWL <JN JMJN W HN CB<T >LPJM >JC W JHJ KMW XDC,None,None,,,,0,0 000 0 00000 0111 01 1111111 11 1 100000 0 000 00000 00 0000 1 100 000 000 0000 000 000 00 000 00 0 00 000 00000 0 0000 0 000 000 011 100 0000 0 000 000 11110 0 10000 0 000 0000 000 0 000 00000 000 0 011 1 1111 110 011 100 00 001 111 000 1000 000 000 0000 0 10 0000 00000 000 0 000 000 000,hif,perf,,,,,,,
1999821,<LH[,4Q51,1_Samuel,11,1,J<L,W J<L NXC H <MWNJ W JXN <L JBJC NYLW M JD BNJ <MWN W JB>W >L JBC GL<D W J>MRW KWL >NCJ JBJC >L NXC MLK BNJ <MWN KRT LNW BRJT W N<BDK,None,None,,,,0,0 000 000 0 00000 0 000 00 0000 1111 1 11 000 0000 0 0000 00 100 0000 0 00000 000 0000 0000 00 000 011 111 1111 111 011 1111 1 11111,qal,wayq,,,,,,,
1999835,BW>[,4Q51,1_Samuel,11,1,JB>W,W J<L NXC H <MWNJ W JXN <L JBJC NYLW M JD BNJ <MWN W JB>W >L JBC GL<D W J>MRW KWL >NCJ JBJC >L NXC MLK BNJ <MWN KRT LNW BRJT W N<BDK,None,None,,,,0,0 000 000 0 00000 0 000 00 0000 1111 1 11 000 0000 0 0000 00 100 0000 0 00000 000 0000 0000 00 000 011 111 1111 111 011 1111 1 11111,qal,wayq,,,,,,,
1999882,JY>[,4Q51,1_Samuel,11,7,JY>,BQR W JNTXHW W JCLX B KL GBWL JFR>L B JD ML>KJM L >MR >CR >JNNW JY> >XRJ C>WL W >XRJ CMW>L KH J<FH L BQRW W JPWL PXD JHWH <L <M JFR>L W JY<QW K >JC >XD,None,None,,,,0,001 1 111111 1 1111 1 11 1111 11111 1 11 111111 1 111 111 11111 111 1111 0000 0 0111 11111 11 1111 1 1111 1 1111 111 1111 11 11 11111 1 11111 0 000 000,qal,ptca,,,,,,,
1999893,NPL[,4Q51,1_Samuel,11,7,JPWL,BQR W JNTXHW W JCLX B KL GBWL JFR>L B JD ML>KJM L >MR >CR >JNNW JY> >XRJ C>WL W >XRJ CMW>L KH J<FH L BQRW W JPWL PXD JHWH <L <M JFR>L W JY<QW K >JC >XD,None,None,,,,0,001 1 111111 1 1111 1 11 1111 11111 1 11 111111 1 111 111 11111 111 1111 0000 0 0111 11111 11 1111 1 1111 1 1111 111 1111 11 11 11111 1 11111 0 000 000,qal,wayq,,,,,,,
1999929,BW>[,4Q51,1_Samuel,11,9,B>JM,W J>MR C>WL L ML>KJM H B>JM KH T>MRWN L >JC JBJC MXR LKM M JHWH H TCW<H B XM H CMC W JB>W H ML>KJM W JGJDW L >NCJ JBJC W JFMXW W J>MRW LKM PTXW H C<R,None,None,,,,0,1 1111 1111 1 111111 1 1111 11 111111 1 111 1111 111 111 0 0000 0 00111 1 11 1 111 1 1111 1 111111 1 11111 1 1111 1111 1 11111 1 11111 000 0000 0 011,qal,ptca,,,,,,,
1999946,BW>[,4Q51,1_Samuel,11,9,JB>W,W J>MR C>WL L ML>KJM H B>JM KH T>MRWN L >JC JBJC MXR LKM M JHWH H TCW<H B XM H CMC W JB>W H ML>KJM W JGJDW L >NCJ JBJC W JFMXW W J>MRW LKM PTXW H C<R,None,None,,,,0,1 1111 1111 1 111111 1 1111 11 111111 1 111 1111 111 111 0 0000 0 00111 1 11 1 111 1 1111 1 111111 1 11111 1 1111 1111 1 11111 1 11111 000 0000 0 011,qal,wayq,,,,,,,
1999970,JY>[,4Q51,1_Samuel,11,10,NY>,W J>MRW >NCJ JBJC GL<D MXR NY> >LJKM W <FJTM LNW K KWL H VWB B <JNJKM,None,None,,,,0,0 00001 0001 1111 1111 011 111 11111 1 11111 111 1 111 1 111 1 111111,qal,impf,,,,,,,
1999995,BW>[,4Q51,1_Samuel,11,11,JB>W,W JHJ M MXRT W JFJM C>WL >T H <M CLWCH R>CJM W JB>W B TWK H MXNH B >CMRT H BQR W JKW >T BNJ <MWN <D XM H JWM W JHJW H NC>RJM W JPWYW W LW> NC>RW BM CNJM JXD,None,None,,,,0,1 111 1 1000 0 0111 1111 11 1 11 11111 11111 1 1111 1 111 1 1111 1 11111 1 000 1 111 11 111 1111 11 11 1 111 1 1111 1 111111 0 00000 0 000 00011 11 1111 111,qal,wayq,,,,,,,
2000051,BW>[,4Q51,1_Samuel,12,8,B>,K >CR B> J<QWB W BNJW MYRJM W J<NM MYRJM W JZ<QW >BWTJKM >L JHWH W JCLX JHWH >T MCH W >T >HRWN W JWYJ>W,None,None,,,,0,0 001 11 11111 1 1111 11111 1 1111 11111 1 11111 1110000 00 0011 1 1100 0011 11 111 1 11 11111 1 111111,qal,perf,,,,,,,
2000073,JY>[,4Q51,1_Samuel,12,8,JWYJ>W,K >CR B> J<QWB W BNJW MYRJM W J<NM MYRJM W JZ<QW >BWTJKM >L JHWH W JCLX JHWH >T MCH W >T >HRWN W JWYJ>W,None,None,,,,0,0 001 11 11111 1 1111 11111 1 1111 11111 1 11111 1110000 00 0011 1 1100 0011 11 111 1 11 11111 1 111111,hif,wayq,,,,,,,
2000321,BW>[,4Q51,1_Samuel,14,25,B>,W KL H <M B> B J<R W JHJ DBC <L PNJ H FDH,None,None,,,,0,1 11 1 11 11 1 111 0 001 111 11 111 1 111,qal,perf,,,,,,,
2000471,GLL[,4Q51,1_Samuel,14,33,GLW,W JGJDW L C>WL L >MR XV>JM H <M L JHWH L >KWL <L H DM W J>MR BGDTM GLW N> >LJ HLM >BN GDWLH,None,None,,,,0,1 11111 1 1111 1 111 11111 1 11 1 1111 0 0000 11 1 11 1 1111 11111 111 11 111 111 110 11100,qal,impv,,,,,,,
2000516,PNH[,4Q51,1_Samuel,14,47,JPNH,<L JFR>L W JLXM SBJB B KWL >JBJW B MW>B W B BNJ <MWN W B >DWM W B MLK YWBH W B PLCTJJM W B KWL >CR JPNH JWCJ<,None,None,,,,0,00 00011 1 1111 1111 1 000 00000 0 0001 1 1 111 1111 1 1 1111 0 0 000 0000 0 0 0000000 0 0 000 000 0000 11111,qal,impf,,,,,,,
