verb_id,lex,scroll,book,chapter,verse_num,gcons_verb,gcons_verse,gcons_clause,subject,complement,cmpl_lex,cmpl_translation,dir_he,cmpl_constr,cmpl_nt,cmpl_anim,cmpl_det,cmpl_indiv,cmpl_complex,dir_he_dss,sign_info,stem,tense,motion_type,comments,preposition_1,preposition_2,preposition_3,preposition_4,preposition_5,preposition_6,preposition_7
30056,BW>[,MT,Exodus,3,18,B>T,W CM<W L QLK W B>T >TH W ZQNJ JFR>L >L MLK MYRJM W >MRTM >LJW JHWH >LHJ H <BRJJM NQRH <LJNW W <TH NLKH N> DRK CLCT JMJM B MDBR W NZBXH L JHWH >LHJNW,W B>T >TH W ZQNJ JFR>L >L MLK MYRJM,>TH W ZQNJ JFR>L,>L MLK MYRJM,>L MLK/ MYRJM/,,0,prep,topo,inanim,det,subs,complex,,,qal,perf,,,>L,,,,,,
30075,HLK[,MT,Exodus,3,18,NLKH,W CM<W L QLK W B>T >TH W ZQNJ JFR>L >L MLK MYRJM W >MRTM >LJW JHWH >LHJ H <BRJJM NQRH <LJNW W <TH NLKH N> DRK CLCT JMJM B MDBR W NZBXH L JHWH >LHJNW,NLKH N> DRK CLCT JMJM B MDBR,,B MDBR,B H MDBR/,,0,prep,,,det,subs,simple,,,qal,impf,,,B,,,,,,
30098,HLK[,MT,Exodus,3,19,HLK,W >NJ JD<TJ KJ L> JTN >TKM MLK MYRJM L HLK W L> B JD XZQH,L HLK,,no complement,no complement,,,,,,,,,,,qal,infc,,,,,,,,,
30138,HLK[,MT,Exodus,3,21,TLKWN,W NTTJ >T XN H <M H ZH B <JNJ MYRJM W HJH KJ TLKWN L> TLKW RJQM,KJ TLKWN,,no complement,no complement,,,,,,,,,,,qal,impf,,,,,,,,,
30140,HLK[,MT,Exodus,3,21,TLKW,W NTTJ >T XN H <M H ZH B <JNJ MYRJM W HJH KJ TLKWN L> TLKW RJQM,L> TLKW RJQM,,no complement,no complement,,,,,,,,,,,qal,impf,,,,,,,,,
30213,NWS[,MT,Exodus,4,3,JNS,W J>MR HCLJKHW >RYH W JCLJKHW >RYH W JHJ L NXC W JNS MCH M PNJW,W JNS MCH M PNJW,MCH,M PNJW,MN PNH/,,0,prep,,,det,subs,complex,,,qal,wayq,,,MN,,,,,,
30260,BW>[,MT,Exodus,4,6,HB>,W J>MR JHWH LW <WD HB> N> JDK B XJQK W JB> JDW B XJQW W JWY>H W HNH JDW MYR<T K CLG,HB> N> JDK B XJQK,,no complement,no complement,,,,,,,,,,,hif,impv,,,,,,,,,
30266,BW>[,MT,Exodus,4,6,JB>,W J>MR JHWH LW <WD HB> N> JDK B XJQK W JB> JDW B XJQW W JWY>H W HNH JDW MYR<T K CLG,W JB> JDW B XJQW,,no complement,no complement,,,,,,,,,,,hif,wayq,,,,,,,,,
30271,JY>[,MT,Exodus,4,6,JWY>H,W J>MR JHWH LW <WD HB> N> JDK B XJQK W JB> JDW B XJQW W JWY>H W HNH JDW MYR<T K CLG,W JWY>H,,no complement,no complement,,,,,,,,,,,hif,wayq,,,,,,,,,
30281,CWB[,MT,Exodus,4,7,HCB,W J>MR HCB JDK >L XJQK W JCB JDW >L XJQW W JWY>H M XJQW W HNH CBH K BFRW,HCB JDK >L XJQK,,no complement,no complement,,,,,,,,,,,hif,impv,,,,,,,,,
30286,CWB[,MT,Exodus,4,7,JCB,W J>MR HCB JDK >L XJQK W JCB JDW >L XJQW W JWY>H M XJQW W HNH CBH K BFRW,W JCB JDW >L XJQW,,no complement,no complement,,,,,,,,,,,hif,wayq,,,,,,,,,
30291,JY>[,MT,Exodus,4,7,JWY>H,W J>MR HCB JDK >L XJQK W JCB JDW >L XJQW W JWY>H M XJQW W HNH CBH K BFRW,W JWY>H M XJQW,,M XJQW,MN XJQ/,,0,prep,,,det,subs,complex,,,hif,wayq,,,MN,,,,,,
30296,CWB[,MT,Exodus,4,7,CBH,W J>MR HCB JDK >L XJQK W JCB JDW >L XJQW W JWY>H M XJQW W HNH CBH K BFRW,CBH K BFRW,,no complement,no complement,,,,,,,,,,,qal,perf,,,,,,,,,
30421,HLK[,MT,Exodus,4,12,LK,W <TH LK W >NKJ >HJH <M PJK W HWRJTJK >CR TDBR,LK,,no complement,no complement,,,,,,,,,,,qal,impv,,,,,,,,,
30463,JY>[,MT,Exodus,4,14,JY>,W JXR >P JHWH B MCH W J>MR H L> >HRN >XJK H LWJ JD<TJ KJ DBR JDBR HW> W GM HNH HW> JY> L QR>TK W R>K W FMX B LBW,HW> JY>,HW>,no complement,no complement,,,,,,,,,,,qal,ptca,,,,,,,,,
30532,HLK[,MT,Exodus,4,18,JLK,W JLK MCH W JCB >L JTR XTNW W J>MR LW >LKH N> W >CWBH >L >XJ >CR B MYRJM W >R>H H <WDM XJJM W J>MR JTRW L MCH LK L CLWM,W JLK MCH,MCH,no complement,no complement,,,,,,,,,,,qal,wayq,,,,,,,,,
30535,CWB[,MT,Exodus,4,18,JCB,W JLK MCH W JCB >L JTR XTNW W J>MR LW >LKH N> W >CWBH >L >XJ >CR B MYRJM W >R>H H <WDM XJJM W J>MR JTRW L MCH LK L CLWM,W JCB >L JTR XTNW,,>L JTR XTNW,>L JTR==/ XTN[,,0,prep,pers,anim,det,nmpr,complex,,,qal,wayq,,,>L,,,,,,
30542,HLK[,MT,Exodus,4,18,>LKH,W JLK MCH W JCB >L JTR XTNW W J>MR LW >LKH N> W >CWBH >L >XJ >CR B MYRJM W >R>H H <WDM XJJM W J>MR JTRW L MCH LK L CLWM,>LKH N>,,no complement,no complement,,,,,,,,,,,qal,impf,,,,,,,,,
